Number,Original Challenge,contributor,link,title,authorURL,challengeURL
17,tic tac toe,matt-mekha,https://editor.p5js.org/mmftl/present/a3mP-qjEM,5x5 Tic Tac Toe,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
18,tic tac toe,Timur Dzhalalov,https://editor.p5js.org/eightlaysome/present/iqXHSVn-6,Tic-Tac-Toe with invincible AI,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
19,tic tac toe,James-Lang,https://editor.p5js.org/James-Lang/present/swRhflZpi,Tic-Tac-Toe Challenge Complete!,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
20,tic tac toe,arthurrcavalcanti,https://editor.p5js.org/arthurrc/present/1ItYNEQGl,Color Tic-Tac-Toe PvsP (click),https://github.com/arthurrcavalcanti,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
21,tic tac toe,Brogamer5000,https://editor.p5js.org/Brogamer5000/present/JB8-AddMS,Tic Tac Toe,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
22,tic tac toe,david dostal,https://editor.p5js.org/daviddostal/present/F9mv0IRaJ,Tic Tac Toe 2 players (simple),,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
23,rubiks cube,zl25drexel,https://editor.p5js.org/zl25drexel/present/9K3PnFQQ_,p5.js port,,https://thecodingtrain.com/CodingChallenges/142.1-rubiks-cube
24,tic tac toe,Ahmed kabapy,https://editor.p5js.org/kabapy/present/sof5IFfwC,Tic Tac Toe (Dynamic grid Size using classes),,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
25,double pendulum,MisterBiggs,https://gitlab.com/MisterBiggs/double_pendulum/blob/master/animation.webm,Processing.py Double Pendulum,https://blog.ansonbiggs.com/,https://thecodingtrain.com/CodingChallenges/093-double-pendulum.html
26,tic tac toe,Thom Kastelein ,https://www.openprocessing.org/sketch/740544,Human vs. Ai,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
27,10print,XMODS,https://codepen.io/XMODS/pen/wOjwVG,Rainbow 10PRINT,,https://thecodingtrain.com/CodingChallenges/076-10print.html
28,minesweeper,Zykatious,https://editor.p5js.org/Zykatious/present/vaRBSL6d8,HexSweeper - Hexagon-based Minesweeper game,,https://thecodingtrain.com/CodingChallenges/071-minesweeper.html
29,Lissajous Curves,Hari Krishnan,https://editor.p5js.org/HariKrishnan/present/uGdTrs9uB,Refactored Lissajous Curve,https://github.com/Hari3,https://thecodingtrain.com/CodingChallenges/116-lissajous.html
30,tic tac toe,Ahmet Ataşoğlu,https://editor.p5js.org/atasoglu/present/ih2JEeRj5,SuperBasic TicTacToe (HumanVsHuman),,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
31,forward kinematics,David Snyder,https://www.youtube.com/watch?v=XrhZvpvP4a4,Floating point Snake,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/064.1-forward-kinematics.html
32,maze generator,Sylvain Bérubé,https://editor.p5js.org/sylvainberube/present/doxwlc9US,Maze generation hexagonal,https://www.facebook.com/sylvain.berube.geek,https://thecodingtrain.com/CodingChallenges/010.4-maze-dfs-p5.html
33,tic tac toe,IMPorbis,https://editor.p5js.org/IMPorbis/present/rH9vPGABt,Tic Tac Toe,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
34,floyd-steinberg-dithering,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/96wsqZdh6,Live video dithering,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/090-floyd-steinberg-dithering.html
35,chrome dino game,Sam Lee,https://codepen.io/leimapapa/pen/zVoJWz,Responsive jump height and obstacle speed based on window size,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/147-chrome-dinosaur.html
36,perlin noise loops,Sam Lee,https://codepen.io/leimapapa/pen/gEMGPr,Perlin noise loop suncircle,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/136.1-polar-perlin-noise-loops.html
37,timer,Sam Lee,https://codepen.io/leimapapa/pen/qeaWoP,Count Up and Down Timer,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/066-timer.html
38,asteroids,David Fabritius,https://editor.p5js.org/dmfabritius/present/jdcQ8K0ho,Sprite Asteroids,https://github.com/dmfabritius,https://thecodingtrain.com/CodingChallenges/046.1-asteroids-part-1.html
39,sentiment analysis,Sam Lee,https://codepen.io/leimapapa/pen/JwWYKo,sentiment.js,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/044.1-afinn111sentimentanalysis.html
40,10print,neerb,https://editor.p5js.org/neerb/present/k4_2WOkRe,10PRINT,,https://thecodingtrain.com/CodingChallenges/076-10print.html
41,phyllotaxis,Sam Lee,https://codepen.io/leimapapa/pen/yZKyoq,Prime Spiral Phyllotaxis,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/030-phyllotaxis.html
42,smart rockets,Sam Lee,https://codepen.io/leimapapa/pen/QJwjwE,Smart Rockets in Logo,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/029-smartrockets.html
43,markov chain,Sam Lee,https://codepen.io/leimapapa/pen/gNozyp,Word Cloud Generator,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/042.1-markov-chains.html
44,tic tac toe,JeanLoup,https://editor.p5js.org/JeanLoup/present/3AOnKAWfF,3D Tic Tac Toe,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
45,10print,Volfegan,https://www.youtube.com/watch?v=7v4I519CL-g,10PRINT,,https://thecodingtrain.com/CodingChallenges/076-10print.html
46,perlin noise loops,yusuke saitoh,https://www.openprocessing.org/sketch/739862,Looping perlin noise using Lissajous curve,https://www.openprocessing.org/user/184475,https://thecodingtrain.com/CodingChallenges/136.1-polar-perlin-noise-loops.html
48,particle system,Yalçıncan Ulus,https://www.openprocessing.org/sketch/459864,Color Smoke,https://www.openprocessing.org/user/98765,https://thecodingtrain.com/CodingChallenges/078-simple-particle-system.html
49,tic tac toe,Udit_sharma,https://editor.p5js.org/Udit_sharma/present/JCP2GzDRp,tic tac toe game,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
50,space invaders,minoger,https://editor.p5js.org/minoger/present/ul4KYn9JP,InvShmup,,https://thecodingtrain.com/CodingChallenges/005-space-invaders-p5.html
51,tic tac toe,ClaudiuC,https://editor.p5js.org/ClaudiuC/present/yaHlzPc9x,TicTacToe with options,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
52,fractal tree,Tushar Sharma,https://editor.p5js.org/imtusharsharma/present/FcyznC4KW,Pink Fractal Forest,https://github.com/imtusharsharma,https://thecodingtrain.com/CodingChallenges/014-fractaltree.html
53,convex hull,KeesKolber,https://editor.p5js.org/KeesKolber/present/bzvB_7qKf,Graham's scan algorithm using a generator function,https://github.com/KeesJohannes,https://thecodingtrain.com/CodingChallenges/148-gift-wrapping.html
54,random walk,hanxyn888,https://editor.p5js.org/hanxyn888@gmail.com/present/uSlG5StqX,Not so random walk (Visualizing Pi),,https://thecodingtrain.com/CodingChallenges/052-random-walk.html
55,wordnik api,mikakruschel,https://editor.p5js.org/mikakruschel/present/SJD4mWnAX,Hangman,,https://thecodingtrain.com/CodingChallenges/084-word-definition-extension.html
56,perlin noise loops,jponce,https://editor.p5js.org/jcponce/present/cWHhxwgxl,Look here,https://jcponce.github.io/,https://thecodingtrain.com/CodingChallenges/036-blobby.html
57,clock,martin,https://editor.p5js.org/martin@multiarts.ch/present/Hk3o7UQ07,Modern Radio Clock,https://marramstudios.com/,https://thecodingtrain.com/CodingChallenges/074-clock.html
58,tic tac toe,Manikanta Narayana,https://editor.p5js.org/ilmnarayana/present/_-JTT51Qt,Re-sizable Tic-Tac-Toe PvsP (click),,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
59,convex hull,Guy_Yome,https://editor.p5js.org/Guy_Yome/present/-73RZAaRJ,Arthur Cavalcanti,https://github.com/Guy-Yome,https://thecodingtrain.com/CodingChallenges/148-gift-wrapping.html
60,minesweeper,claes gill,http://www.claesgill.com/trollsweeper/,Troll sweeper,,https://thecodingtrain.com/CodingChallenges/071-minesweeper.html
61,tic tac toe,AmritAmar,https://editor.p5js.org/AmritAmar/present/x2dtFTAsH,Ultimate tic tac toe,https://amritamar.github.io/,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
62,Evolutionary steering behaviors,gmanen,https://editor.p5js.org/gmanen/present/HF0OH8ATr,Shoaks and Foish's,https://editor.p5js.org/gmanen/sketches,https://thecodingtrain.com/CodingChallenges/069.5-steering-evolution.html
63,flappy bird,sebastien lorentz,https://editor.p5js.org/sebastien.lorentz/present/ht-gL0Z4o,fleppy bird,,https://thecodingtrain.com/CodingChallenges/031-flappybird.html
64,2048,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/zMhaJYxmc,2048 Clone,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/094.1-2048
65,flappy bird ai,ernst-schmidt,https://www.ernst-schmidt.com/coding/5d30690dc7a6e90017a94ef6,Neuroevolution Obstacle Course,,https://thecodingtrain.com/CodingChallenges/100.5-neuroevolution-flappy-bird.html
66,flocking system,ernst-schmidt,https://www.ernst-schmidt.com/coding/5d70ea631d0a070017666552,Quadtree and Flocking Simulation,,https://thecodingtrain.com/CodingChallenges/124-flocking-boids.html
67,raycasting,Nate Plamondon,https://www.youtube.com/watch?v=JoYN-UGypSg&feature=youtu.be,Raycasing with pygame,https://github.com/meznak,https://thecodingtrain.com/CodingChallenges/145-2d-ray-casting.html
68,starfield,Amin Ahmad Ahmadi,https://editor.p5js.org/Amin Ahmad Ahmadi/present/aoIBBYSgY,Interactive Viewing Angle Starfield,https://twitter.com/AminAhmadAhmadi,https://thecodingtrain.com/CodingChallenges/001-starfield.html
69,raycasting,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/oUXmojdXi,"2D cave exploration, with raycasting and marching squares",https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/145-2d-ray-casting.html
70,menger sponge,Amin Ahmad Ahmadi,https://editor.p5js.org/Amin Ahmad Ahmadi/present/3S1QjYwAy,Sponge plus,https://twitter.com/AminAhmadAhmadi,https://thecodingtrain.com/CodingChallenges/002-mengersponge.html
71,snake,Amin Ahmad Ahmadi,https://editor.p5js.org/Amin Ahmad Ahmadi/present/9QYlaqrgV,Touch snake game,https://twitter.com/AminAhmadAhmadi,https://thecodingtrain.com/CodingChallenges/003-snake-game-p5.html
72,purple rain,Amin Ahmad Ahmadi,https://editor.p5js.org/Amin Ahmad Ahmadi/present/hxRaq59Xt,Rainy night,https://twitter.com/AminAhmadAhmadi,https://thecodingtrain.com/CodingChallenges/004-purplerain.html
73,space invaders,Amin Ahmad Ahmadi,https://editor.p5js.org/Amin Ahmad Ahmadi/present/U3xEo8Ifg,Simple spaceship game,https://twitter.com/AminAhmadAhmadi,https://thecodingtrain.com/CodingChallenges/005-space-invaders-p5.html
74,mitosis,Amin Ahmad Ahmadi,https://editor.p5js.org/Amin Ahmad Ahmadi/present/nUyR3Xnpf,non-overlapping Mitosis simulation,https://twitter.com/AminAhmadAhmadi,https://thecodingtrain.com/CodingChallenges/006-mitosis-p5.html
75,hypercube,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/492uCszzp,hypercube,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/113-hypercube.html
76,3D Rendering with Rotation and Projection,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/n3YFHyz0D,simple 3d render,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/112-3d-rendering.html
77,Minesweeper,David Snyder,https://GypsyDangerous.github.io/Minesweeper-React/,Minesweeper in React,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/071-minesweeper.html
78,peeking inside pi,Arnav Sirigere,https://editor.p5js.org/Arnav-Sirigere/present/d3e6yoeA,Peeking in π with your Pitch!,https://github.com/arnavsirigere,https://thecodingtrain.com/CodingChallenges/156-pi-digits.html
79,quicksort,Joe Jackson,https://editor.p5js.org/budzique/present/eL779ZiF,Adaptation with a really bad sort,,https://thecodingtrain.com/CodingChallenges/143-quicksort.html
80,convex hull,arthurrcavalcanti,https://editor.p5js.org/arthurrc/present/OldqKcL5,Finding the Convex Hull with vector's Cross Product,https://github.com/arthurrcavalcanti,https://thecodingtrain.com/CodingChallenges/148-gift-wrapping.html
81,clock,Mohammad Fahad,https://editor.p5js.org/Morphinepill/present/UFsFBd1Z,BMW clock,,https://thecodingtrain.com/CodingChallenges/074-clock.html
82,heart curve,AnonymousPyro,https://editor.p5js.org/AnonymousPyro/present/Q2XUJXm5,Bi-Curved Heart Beating,https://github.com/AnonymousPyro,https://thecodingtrain.com/CodingChallenges/134.1-heart-curve.html
83,heart curve,AnonymousPyro,https://editor.p5js.org/AnonymousPyro/present/klkuDmy4,Particulated Hearts,https://github.com/AnonymousPyro,https://thecodingtrain.com/CodingChallenges/134.1-heart-curve.html
84,snake,David Snyder,https://editor.p5js.org/D_Snyder/present/dccXgYaes,snake on simulated led matrix,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/115-snake-game-redux.html
85,matrix rain,David Snyder,https://editor.p5js.org/D_Snyder/present/QTjGNty-6,Clock over Matrix Rain,https://github.com/GypsyDangerous,https://thecodingtrain.com/GuestTutorials/004-emily-xie-matrix-digital-rain.html
86,block breaker with yinig shi,David Snyder,https://editor.p5js.org/D_Snyder/present/GFvxMbs9t,Breakout,https://github.com/GypsyDangerous,https://thecodingtrain.com/GuestTutorials/005-yining-shi-brick-breaker.html
87,fireworks,Arnav Sirigere,https://editor.p5js.org/Arnav-Sirigere/present/gHb_ytBvB,Text Fireworks,,https://thecodingtrain.com/CodingChallenges/027-fireworks.html
88,random walks,Arnav Sirigere,https://editor.p5js.org/Arnav-Sirigere/present/0iRp-6BRt,Random Walkers,,https://thecodingtrain.com/CodingChallenges/053-random-walk-levy.html
89,starfield,BossySmaxx,https://asteroidfield.glitch.me/,Asteroid Field,,https://thecodingtrain.com/CodingChallenges/001-starfield.html
90,flocking system,Sam Lee,https://codepen.io/leimapapa/pen/abzZLBy,Flock of Conformity,https://codepen.io/leimapapa/,https://thecodingtrain.com/CodingChallenges/124-flocking-boids.html
91,flocking system,anurag hazra,https://editor.p5js.org/Arnav-Sirigere/present/FMBzzf5Vd,Evolution aquarium,,https://thecodingtrain.com/CodingChallenges/124-flocking-boids.html
92,times tables,Szymon Nowacki,https://szymon300101.github.io/TableFlow/,Multi-shape interactive Timetable,https://github.com/Szymon300101,https://thecodingtrain.com/CodingChallenges/133-times-tables-cardioid.html
93,pong,Marc N,https://editor.p5js.org/mragonias/present/yTDYn8pt,Pong Atari version,,https://thecodingtrain.com/CodingChallenges/067-pong.html
94,snakes and ladders,kobe,https://editor.p5js.org/KobeL/present/u_AYfmVX,Snakes and Ladders,https://editor.p5js.org/KobeL/sketches,https://thecodingtrain.com/CodingChallenges/091.3-snakes-and-ladders.html
95,game of life,kobe,https://editor.p5js.org/KobeL/present/i6wwDC6B,Simple Game of life,https://editor.p5js.org/KobeL/sketches,https://thecodingtrain.com/CodingChallenges/085-the-game-of-life.html
96,game of life (again),kobe,https://editor.p5js.org/KobeL/present/UIHG9Drw,editable game of life,https://editor.p5js.org/KobeL/sketches,https://thecodingtrain.com/CodingChallenges/085-the-game-of-life.html
97,pong,kobe,https://editor.p5js.org/D_Snyder/present/4Ur5Y5Gd,Pi Pong,https://editor.p5js.org/KobeL/sketches,https://thecodingtrain.com/CodingChallenges/067-pong.html
98,maurer rose,dwino,https://editor.p5js.org/dwino/present/O2xBcdksk,Maurer rose with perlin noise,https://github.com/dwino,https://thecodingtrain.com/CodingInTheCabana/001-maurer-rose.html
99,maurer rose,stampyzfanz,https://stampyzfanz.github.io/games/MaurerRose/,Rainbow maurer rose,https://github.com/stampyzfanz,https://thecodingtrain.com/CodingInTheCabana/001-maurer-rose.html
100,maurer rose,sequentialchaos,https://editor.p5js.org/sequentialchaos/present/Zq70Kbrmk,maurer triangles rainbow swish,https://github.com/sequentialchaos,https://thecodingtrain.com/CodingInTheCabana/001-maurer-rose.html
101,sprites,David Snyder,https://editor.p5js.org/D_Snyder/present/t54D7ohz,sprites that can move backwords,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/111-animated-sprite.html
102,koch snowflake,anurag hazra,https://anuraghazra.github.io/CanvasFun/KochStar/,KochStar,https://anuraghazra.github.io/,https://thecodingtrain.com/CodingChallenges/129-koch-snowflake.html
103,chat bot,David Snyder,https://gypsydangerous.github.io/number-guessing-bot/,Number chatbot,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/079-number-guessing-chatbot.html
104,pong,David Snyder,https://editor.p5js.org/D_Snyder/present/TqeYYpRuu,Pong with SAT,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/067-pong.html
105,tic tac toe,David Snyder,https://ticonlinetactoe.herokuapp.com/,online multiplayer tic tac toe,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
